abilities,artist,ancientTrait,attacks,cardmarket,convertedRetreatCost,evolvesFrom,flavorText,hp,id,images,legalities,regulationMark,name,nationalPokedexNumbers,number,rarity,resistances,retreatCost,rules,set,subtypes,supertype,tcgplayer,types,weaknesses
,Eske Yoshinob,,"[Attack(name='Frog Hop', cost=['Grass', 'Colorless', 'Colorless'], convertedEnergyCost=3, damage='40+', text='Flip a coin. If heads, this attack does 40 more damage.'), Attack(name='Poison Impact', cost=['Grass', 'Grass', 'Colorless', 'Colorless'], convertedEnergyCost=4, damage='80', text=""Your opponent's Active Pokémon is now Asleep and Poisoned."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-1', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=5.53, lowPrice=2.0, trendPrice=5.95, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.0, reverseHoloLow=0.0, reverseHoloTrend=6.21, lowPriceExPlus=2.75, avg1=5.0, avg7=5.8, avg30=5.98, reverseHoloAvg1=6.99, reverseHoloAvg7=5.52, reverseHoloAvg30=5.03))",4,,,180,g1-1,"CardImage(small='https://images.pokemontcg.io/g1/1.png', large='https://images.pokemontcg.io/g1/1_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Venusaur-EX,[3],1,Rare Holo EX,,"['Colorless', 'Colorless', 'Colorless', 'Colorless']","['Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')","['Basic', 'EX']",Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-1', updatedAt='2025/04/10', prices=TCGPrices(normal=None, holofoil=TCGPrice(low=3.45, mid=3.87, high=19.99, market=3.63, directLow=3.75), reverseHolofoil=None, firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
,5ban Graphics,,"[Attack(name='Bloom Buster', cost=['Grass', 'Grass', 'Colorless', 'Colorless'], convertedEnergyCost=4, damage='130', text=""Flip a coin. If heads, this attack does 30 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)"")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-2', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=13.18, lowPrice=4.95, trendPrice=9.9, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.0, reverseHoloLow=0.0, reverseHoloTrend=8.37, lowPriceExPlus=9.5, avg1=11.0, avg7=13.2, avg30=15.11, reverseHoloAvg1=7.49, reverseHoloAvg7=6.75, reverseHoloAvg30=7.59))",4,Venusaur-EX,,230,g1-2,"CardImage(small='https://images.pokemontcg.io/g1/2.png', large='https://images.pokemontcg.io/g1/2_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,M Venusaur-EX,[3],2,Rare Holo EX,,"['Colorless', 'Colorless', 'Colorless', 'Colorless']","['Mega Evolution rule: When 1 of your Pokémon becomes a Mega Evolution Pokémon, your turn ends.', 'Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')","['MEGA', 'EX']",Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-2', updatedAt='2025/04/10', prices=TCGPrices(normal=None, holofoil=TCGPrice(low=14.15, mid=17.95, high=49.99, market=14.73, directLow=11.99), reverseHolofoil=None, firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
"[Ability(name='Adaptive Evolution', text='This Pokémon can evolve during your first turn or the turn you play it.', type='Ability')]",kawayoo,,"[Attack(name='Harden', cost=['Colorless', 'Colorless'], convertedEnergyCost=2, damage='', text=""During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-4', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.16, lowPrice=0.02, trendPrice=0.18, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.51, reverseHoloLow=0.08, reverseHoloTrend=0.39, lowPriceExPlus=0.02, avg1=0.02, avg7=0.15, avg30=0.18, reverseHoloAvg1=0.5, reverseHoloAvg7=0.5, reverseHoloAvg30=0.53))",2,Caterpie,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,70,g1-4,"CardImage(small='https://images.pokemontcg.io/g1/4.png', large='https://images.pokemontcg.io/g1/4_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Metapod,[11],4,Uncommon,,"['Colorless', 'Colorless']",,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 1'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-4', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.13, mid=0.25, high=2.12, market=0.24, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.25, mid=0.68, high=9.99, market=0.68, directLow=0.6), firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
"[Ability(name='Adaptive Evolution', text='This Pokémon can evolve during your first turn or the turn you play it.', type='Ability')]",Sumiyoshi Kizuki,,"[Attack(name='Bug Bite', cost=['Grass'], convertedEnergyCost=1, damage='10', text='')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-3', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.14, lowPrice=0.02, trendPrice=0.13, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.35, reverseHoloLow=0.15, reverseHoloTrend=0.35, lowPriceExPlus=0.02, avg1=0.02, avg7=0.12, avg30=0.17, reverseHoloAvg1=0.49, reverseHoloAvg7=0.47, reverseHoloAvg30=0.52))",1,,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",40,g1-3,"CardImage(small='https://images.pokemontcg.io/g1/3.png', large='https://images.pokemontcg.io/g1/3_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Caterpie,[10],3,Common,,['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-3', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.06, mid=0.21, high=2.12, market=0.16, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.2, mid=0.58, high=9.99, market=0.59, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
,miki kudo,,"[Attack(name='Quiver Dance', cost=['Grass'], convertedEnergyCost=1, damage='', text='Search your deck for a basic Energy card and attach it to this Pokémon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokémon.'), Attack(name='Gust', cost=['Grass', 'Colorless', 'Colorless'], convertedEnergyCost=3, damage='70', text='')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-5', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=1.44, lowPrice=0.35, trendPrice=1.28, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.74, reverseHoloLow=1.05, reverseHoloTrend=1.96, lowPriceExPlus=0.5, avg1=0.3, avg7=1.38, avg30=1.48, reverseHoloAvg1=4.99, reverseHoloAvg7=2.1, reverseHoloAvg30=2.42))",1,Metapod,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,130,g1-5,"CardImage(small='https://images.pokemontcg.io/g1/5.png', large='https://images.pokemontcg.io/g1/5_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Butterfree,[12],5,Rare Holo,"[Resistance(type='Fighting', value='-20')]",['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 2'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-5', updatedAt='2025/04/10', prices=TCGPrices(normal=None, holofoil=TCGPrice(low=0.75, mid=1.3, high=9.99, market=1.4, directLow=2.97), reverseHolofoil=TCGPrice(low=0.75, mid=1.98, high=3.55, market=2.09, directLow=2.24), firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Lightning', value='×2')]"
,Sumiyoshi Kizuki,,"[Attack(name='Colorful Spores', cost=['Colorless'], convertedEnergyCost=1, damage='', text='Choose 3 of your Pokémon. For each of those Pokémon, search your deck for a different type of basic Energy card and attach it to that Pokémon. Shuffle your deck afterward.'), Attack(name='X-Scissor', cost=['Grass', 'Colorless'], convertedEnergyCost=2, damage='30+', text='Flip a coin. If heads, this attack does 30 more damage.')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-7', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.33, lowPrice=0.02, trendPrice=0.39, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.44, reverseHoloLow=0.4, reverseHoloTrend=1.34, lowPriceExPlus=0.02, avg1=0.02, avg7=0.27, avg30=0.32, reverseHoloAvg1=1.99, reverseHoloAvg7=1.54, reverseHoloAvg30=1.34))",2,Paras,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters.",100,g1-7,"CardImage(small='https://images.pokemontcg.io/g1/7.png', large='https://images.pokemontcg.io/g1/7_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Parasect,[47],7,Rare,,"['Colorless', 'Colorless']",,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Stage 1'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-7', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.08, mid=0.35, high=1.99, market=0.34, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.75, mid=1.25, high=3.0, market=1.18, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
,Aya Kusube,,"[Attack(name='Blot', cost=['Colorless'], convertedEnergyCost=1, damage='10', text='Heal 10 damage from this Pokémon.')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-6', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.08, lowPrice=0.02, trendPrice=0.1, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.04, reverseHoloLow=0.1, reverseHoloTrend=1.02, lowPriceExPlus=0.02, avg1=0.2, avg7=0.1, avg30=0.11, reverseHoloAvg1=0.8, reverseHoloAvg7=1.11, reverseHoloAvg30=0.72))",1,,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,60,g1-6,"CardImage(small='https://images.pokemontcg.io/g1/6.png', large='https://images.pokemontcg.io/g1/6_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Paras,[46],6,Common,,['Colorless'],,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-6', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.08, mid=0.23, high=1.46, market=0.2, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.19, mid=0.5, high=9.04, market=1.07, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
,match,,"[Attack(name='Absorb', cost=['Grass', 'Colorless'], convertedEnergyCost=2, damage='20', text='Heal 20 damage from this Pokémon.'), Attack(name='Vine Whip', cost=['Grass', 'Grass', 'Colorless'], convertedEnergyCost=3, damage='30', text='')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-8', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.07, lowPrice=0.02, trendPrice=0.06, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.64, reverseHoloLow=0.05, reverseHoloTrend=0.62, lowPriceExPlus=0.02, avg1=0.02, avg7=0.07, avg30=0.08, reverseHoloAvg1=0.61, reverseHoloAvg7=0.52, reverseHoloAvg30=0.67))",2,,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.,80,g1-8,"CardImage(small='https://images.pokemontcg.io/g1/8.png', large='https://images.pokemontcg.io/g1/8_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Tangela,[114],8,Common,,"['Colorless', 'Colorless']",,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-8', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.05, mid=0.19, high=1.0, market=0.14, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.1, mid=0.42, high=9.99, market=0.42, directLow=0.37), firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
,Satoshi Shirai,,"[Attack(name='Overhead Throw', cost=['Grass'], convertedEnergyCost=1, damage='30', text=""This attack does 20 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""), Attack(name='Heavy Suplex', cost=['Grass', 'Colorless', 'Colorless'], convertedEnergyCost=3, damage='40+', text=""This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost."")]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-9', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=0.37, lowPrice=0.05, trendPrice=0.32, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=1.98, reverseHoloLow=0.5, reverseHoloTrend=1.55, lowPriceExPlus=0.05, avg1=0.34, avg7=0.34, avg30=0.35, reverseHoloAvg1=0.1, reverseHoloAvg7=1.65, reverseHoloAvg30=2.04))",2,,"It swings its long antlers wildly to attack. During cold periods, it hides deep in forests.",100,g1-9,"CardImage(small='https://images.pokemontcg.io/g1/9.png', large='https://images.pokemontcg.io/g1/9_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Pinsir,[127],9,Rare,,"['Colorless', 'Colorless']",,"Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')",['Basic'],Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-9', updatedAt='2025/04/10', prices=TCGPrices(normal=TCGPrice(low=0.09, mid=0.38, high=1.99, market=0.38, directLow=None), holofoil=None, reverseHolofoil=TCGPrice(low=0.58, mid=1.37, high=9.99, market=1.83, directLow=None), firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
,Naoki Saito,,"[Attack(name='Leaf Blade', cost=['Grass', 'Colorless'], convertedEnergyCost=2, damage='30+', text='Flip a coin. If heads, this attack does 30 more damage.'), Attack(name=""Nature's Breath"", cost=['Grass', 'Grass', 'Colorless'], convertedEnergyCost=3, damage='90+', text='If there is any Stadium card in play, this attack does 30 more damage and heal 30 damage from this Pokémon.')]","Cardmarket(url='https://prices.pokemontcg.io/cardmarket/g1-10', updatedAt='2025/04/10', prices=CardmarketPrices(averageSellPrice=16.25, lowPrice=7.5, trendPrice=18.18, germanProLow=0.0, suggestedPrice=0.0, reverseHoloSell=0.0, reverseHoloLow=0.0, reverseHoloTrend=12.93, lowPriceExPlus=7.5, avg1=20.23, avg7=18.4, avg30=17.24, reverseHoloAvg1=6.0, reverseHoloAvg7=10.43, reverseHoloAvg30=11.95))",2,,,170,g1-10,"CardImage(small='https://images.pokemontcg.io/g1/10.png', large='https://images.pokemontcg.io/g1/10_hires.png')","Legality(unlimited='Legal', expanded='Legal', standard=None)",,Leafeon-EX,[470],10,Rare Holo EX,,"['Colorless', 'Colorless']","['Pokémon-EX rule: When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.']","Set(id='g1', images=SetImage(symbol='https://images.pokemontcg.io/g1/symbol.png', logo='https://images.pokemontcg.io/g1/logo.png'), legalities=Legality(unlimited='Legal', expanded='Legal', standard=None), name='Generations', printedTotal=83, ptcgoCode='GEN', releaseDate='2016/02/22', series='XY', total=117, updatedAt='2020/08/14 09:35:00')","['Basic', 'EX']",Pokémon,"TCGPlayer(url='https://prices.pokemontcg.io/tcgplayer/g1-10', updatedAt='2025/04/10', prices=TCGPrices(normal=None, holofoil=TCGPrice(low=15.0, mid=42.2, high=89.0, market=19.82, directLow=10.31), reverseHolofoil=None, firstEditionHolofoil=None, firstEditionNormal=None))",['Grass'],"[Weakness(type='Fire', value='×2')]"
